2026-05-19T08:14:31.749407,1,,no_buttons,,다운로드 버튼 없음
2026-05-19T09:03:48.128977,1,,no_buttons,,다운로드 버튼 없음
2026-05-19T09:08:58.481084,1,1,success,/workspaces/Nextrise/downloads/(주)276홀딩스%2F276Holdings..zip,
2026-05-19T09:09:08.815899,1,2,success,/workspaces/Nextrise/downloads/(주)로프%2FROPE.%2CINC.zip,
2026-05-19T09:09:18.947926,1,3,success,/workspaces/Nextrise/downloads/(주)링크업%2FLink-Up.lnc.zip,
2026-05-19T09:09:27.939887,1,4,success,/workspaces/Nextrise/downloads/(주)오티톤메디컬%2FOtitonMedicalCo.%2CLtd..zip,
2026-05-19T09:09:40.224427,1,5,success,/workspaces/Nextrise/downloads/(주)이너센서%2FINNERSENSOR.zip,
2026-05-19T09:09:49.794016,1,6,success,/workspaces/Nextrise/downloads/-Nstyle.zip,
2026-05-19T09:09:55.396561,1,7,success,/workspaces/Nextrise/downloads/㈜더원리빙THEWONLIVINGCO.%2CLTD..zip,
2026-05-19T09:10:04.720042,1,8,success,/workspaces/Nextrise/downloads/㈜메이킷에이아이랩스%2FMakitAILabs.zip,
2026-05-19T09:10:09.285024,1,9,success,/workspaces/Nextrise/downloads/㈜아이팩토리(IPACTORYInc.).zip,
2026-05-19T09:10:20.328369,1,10,success,/workspaces/Nextrise/downloads/㈜퀀텀게이트.zip,
2026-05-19T18:38:20.967313,1,10,1036,success,C:\Users\cho12\Downloads\Nextrise_IR\1036_㈜퀀텀게이트.zip,
2026-05-19T18:38:30.841086,2,1,1035,success,C:\Users\cho12\Downloads\Nextrise_IR\1035_(주)공공의주방%2FARCHIVEAT.zip,
2026-05-19T18:38:33.761278,2,2,1034,success,C:\Users\cho12\Downloads\Nextrise_IR\1034_(주)그루누이%2FGROONUICorp..zip,
2026-05-19T18:38:37.550568,2,3,1033,success,C:\Users\cho12\Downloads\Nextrise_IR\1033_(주)널리코리아.zip,
2026-05-19T18:38:39.929783,2,4,1032,success,C:\Users\cho12\Downloads\Nextrise_IR\1032_(주)네이처글루텍.zip,
2026-05-19T18:38:42.402243,2,5,1031,success,C:\Users\cho12\Downloads\Nextrise_IR\1031_(주)네이처모빌리티.zip,
2026-05-19T18:38:43.587288,2,6,1030,success,C:\Users\cho12\Downloads\Nextrise_IR\1030_(주)노하우전기통신KnowhowElectelInc..zip,
2026-05-19T18:38:47.005002,2,7,1029,success,C:\Users\cho12\Downloads\Nextrise_IR\1029_(주)뉴로라인즈%2FNeurolines.zip,
2026-05-19T18:38:51.750777,2,8,1028,success,C:\Users\cho12\Downloads\Nextrise_IR\1028_(주)뉴지엄랩%2FNUSEUM.zip,
2026-05-19T18:38:53.319465,2,9,1027,success,C:\Users\cho12\Downloads\Nextrise_IR\1027_(주)니나노%2FNINANOCo.Ltd..zip,
2026-05-19T18:38:56.372753,2,10,1026,success,C:\Users\cho12\Downloads\Nextrise_IR\1026_(주)다름달음.zip,
2026-05-19T18:40:45.426928,1,1,1045,success,C:\Users\cho12\Downloads\Nextrise_IR\1045_(주)276홀딩스%2F276Holdings..zip,
2026-05-19T18:40:48.823122,1,2,1044,success,C:\Users\cho12\Downloads\Nextrise_IR\1044_(주)로프%2FROPE.%2CINC.zip,
2026-05-19T18:40:52.325228,1,3,1043,success,C:\Users\cho12\Downloads\Nextrise_IR\1043_(주)링크업%2FLink-Up.lnc.zip,
2026-05-19T18:40:55.439675,1,4,1042,success,C:\Users\cho12\Downloads\Nextrise_IR\1042_(주)오티톤메디컬%2FOtitonMedicalCo.%2CLtd..zip,
2026-05-19T18:40:59.385414,1,5,1041,success,C:\Users\cho12\Downloads\Nextrise_IR\1041_(주)이너센서%2FINNERSENSOR.zip,
2026-05-19T18:41:02.775443,1,6,1040,success,C:\Users\cho12\Downloads\Nextrise_IR\1040_-Nstyle.zip,
2026-05-19T18:41:05.102513,1,7,1039,success,C:\Users\cho12\Downloads\Nextrise_IR\1039_㈜더원리빙THEWONLIVINGCO.%2CLTD..zip,
2026-05-19T18:41:08.457489,1,8,1038,success,C:\Users\cho12\Downloads\Nextrise_IR\1038_㈜메이킷에이아이랩스%2FMakitAILabs.zip,
2026-05-19T18:41:10.416689,1,9,1037,success,C:\Users\cho12\Downloads\Nextrise_IR\1037_㈜아이팩토리(IPACTORYInc.).zip,
2026-05-19T18:41:14.056161,1,10,1036,success,C:\Users\cho12\Downloads\Nextrise_IR\1036_㈜퀀텀게이트.zip,
2026-05-19T18:41:23.920270,2,1,1035,success,C:\Users\cho12\Downloads\Nextrise_IR\1035_(주)공공의주방%2FARCHIVEAT.zip,
2026-05-19T18:41:26.840011,2,2,1034,success,C:\Users\cho12\Downloads\Nextrise_IR\1034_(주)그루누이%2FGROONUICorp..zip,
2026-05-19T18:41:30.714657,2,3,1033,success,C:\Users\cho12\Downloads\Nextrise_IR\1033_(주)널리코리아.zip,
2026-05-19T18:41:34.953344,2,4,1032,success,C:\Users\cho12\Downloads\Nextrise_IR\1032_(주)네이처글루텍.zip,
2026-05-19T18:41:39.437637,2,5,1031,success,C:\Users\cho12\Downloads\Nextrise_IR\1031_(주)네이처모빌리티.zip,
2026-05-19T18:41:41.813934,2,6,1030,success,C:\Users\cho12\Downloads\Nextrise_IR\1030_(주)노하우전기통신KnowhowElectelInc..zip,
2026-05-19T18:41:46.618605,2,7,1029,success,C:\Users\cho12\Downloads\Nextrise_IR\1029_(주)뉴로라인즈%2FNeurolines.zip,
2026-05-19T18:44:36.932744,1,1,1045,success,C:\Users\cho12\Downloads\Nextrise_IR\1045_(주)276홀딩스%2F276Holdings._1779183876.zip,
2026-05-19T18:44:40.196750,1,2,1044,success,C:\Users\cho12\Downloads\Nextrise_IR\1044_(주)로프%2FROPE.%2CINC_1779183879.zip,
2026-05-19T18:44:43.458670,1,3,1043,success,C:\Users\cho12\Downloads\Nextrise_IR\1043_(주)링크업%2FLink-Up.lnc_1779183883.zip,
2026-05-19T18:44:46.484015,1,4,1042,success,C:\Users\cho12\Downloads\Nextrise_IR\1042_(주)오티톤메디컬%2FOtitonMedicalCo.%2CLtd._1779183886.zip,
2026-05-19T18:44:50.330286,1,5,1041,success,C:\Users\cho12\Downloads\Nextrise_IR\1041_(주)이너센서%2FINNERSENSOR_1779183889.zip,
2026-05-19T18:44:53.559523,1,6,1040,success,C:\Users\cho12\Downloads\Nextrise_IR\1040_-Nstyle_1779183893.zip,
2026-05-19T18:44:55.807268,1,7,1039,success,C:\Users\cho12\Downloads\Nextrise_IR\1039_㈜더원리빙THEWONLIVINGCO.%2CLTD._1779183895.zip,
2026-05-19T18:44:58.927290,1,8,1038,success,C:\Users\cho12\Downloads\Nextrise_IR\1038_㈜메이킷에이아이랩스%2FMakitAILabs_1779183898.zip,
2026-05-19T18:45:00.827792,1,9,1037,success,C:\Users\cho12\Downloads\Nextrise_IR\1037_㈜아이팩토리(IPACTORYInc.)_1779183900.zip,
2026-05-19T18:45:04.413338,1,10,1036,success,C:\Users\cho12\Downloads\Nextrise_IR\1036_㈜퀀텀게이트_1779183904.zip,
2026-05-19T18:45:14.172735,2,1,1035,success,C:\Users\cho12\Downloads\Nextrise_IR\1035_(주)공공의주방%2FARCHIVEAT_1779183913.zip,
2026-05-19T18:45:17.039967,2,2,1034,success,C:\Users\cho12\Downloads\Nextrise_IR\1034_(주)그루누이%2FGROONUICorp._1779183916.zip,
2026-05-19T18:45:20.728962,2,3,1033,success,C:\Users\cho12\Downloads\Nextrise_IR\1033_(주)널리코리아_1779183920.zip,
2026-05-19T18:45:23.121807,2,4,1032,success,C:\Users\cho12\Downloads\Nextrise_IR\1032_(주)네이처글루텍_1779183922.zip,
2026-05-19T18:45:25.652889,2,5,1031,success,C:\Users\cho12\Downloads\Nextrise_IR\1031_(주)네이처모빌리티_1779183925.zip,
2026-05-19T18:45:26.817947,2,6,1030,success,C:\Users\cho12\Downloads\Nextrise_IR\1030_(주)노하우전기통신KnowhowElectelInc._1779183926.zip,
2026-05-19T18:45:29.845552,2,7,1029,success,C:\Users\cho12\Downloads\Nextrise_IR\1029_(주)뉴로라인즈%2FNeurolines_1779183929.zip,
2026-05-19T18:45:33.674460,2,8,1028,success,C:\Users\cho12\Downloads\Nextrise_IR\1028_(주)뉴지엄랩%2FNUSEUM_1779183933.zip,
2026-05-19T18:45:35.080515,2,9,1027,success,C:\Users\cho12\Downloads\Nextrise_IR\1027_(주)니나노%2FNINANOCo.Ltd..zip,
2026-05-19T18:45:37.786270,2,10,1026,success,C:\Users\cho12\Downloads\Nextrise_IR\1026_(주)다름달음.zip,
2026-05-19T18:45:48.280895,3,1,1025,success,C:\Users\cho12\Downloads\Nextrise_IR\1025_(주)더블미%2FDoubleMe.zip,
2026-05-19T18:45:49.884374,3,2,1024,success,C:\Users\cho12\Downloads\Nextrise_IR\1024_(주)더블유에스지.zip,
2026-05-19T18:45:52.571121,3,3,1023,success,C:\Users\cho12\Downloads\Nextrise_IR\1023_(주)던브.zip,
2026-05-19T18:45:54.778155,3,4,1022,success,C:\Users\cho12\Downloads\Nextrise_IR\1022_(주)도그우드에이아이.zip,
2026-05-19T18:46:00.470355,3,5,1021,success,C:\Users\cho12\Downloads\Nextrise_IR\1021_(주)돌봄드림.zip,
2026-05-19T18:46:01.609142,3,6,1020,success,C:\Users\cho12\Downloads\Nextrise_IR\1020_(주)드림에이아이.zip,
2026-05-19T18:46:03.157946,3,7,1019,success,C:\Users\cho12\Downloads\Nextrise_IR\1019_(주)디자이노블%2FDesignovelCo.%2CLTD.zip,
2026-05-19T18:46:06.996680,3,8,1018,success,C:\Users\cho12\Downloads\Nextrise_IR\1018_(주)딥인사이트%2FDeepInSight.zip,
2026-05-19T18:46:08.670375,3,9,1017,success,C:\Users\cho12\Downloads\Nextrise_IR\1017_(주)레이븐머티리얼즈%2FRavenMaterialsCo.%2CLtd..zip,
2026-05-19T18:46:10.880926,3,10,1016,success,C:\Users\cho12\Downloads\Nextrise_IR\1016_(주)로지체인.zip,
2026-05-19T18:46:19.892259,4,1,1015,success,C:\Users\cho12\Downloads\Nextrise_IR\1015_(주)룰루즈%2FLulu's.zip,
2026-05-19T18:46:22.599961,4,2,1014,success,C:\Users\cho12\Downloads\Nextrise_IR\1014_(주)리바이오%2CLEEBIOINC..zip,
2026-05-19T18:46:24.667537,4,3,1013,success,C:\Users\cho12\Downloads\Nextrise_IR\1013_(주)리베스트%2FLiBESTInc..zip,
2026-05-19T18:46:26.964773,4,4,1012,success,C:\Users\cho12\Downloads\Nextrise_IR\1012_(주)리소스이노베이션%2FResourceInnovationCo.%2CLtd..zip,
2026-05-19T18:46:29.950394,4,5,1011,success,C:\Users\cho12\Downloads\Nextrise_IR\1011_(주)리얼디자인테크%2FRealDesignTechCo.%2CLtd..zip,
2026-05-19T18:46:35.293767,4,6,1010,success,C:\Users\cho12\Downloads\Nextrise_IR\1010_(주)리우%2FRIU.zip,
2026-05-19T18:46:39.536699,4,7,1009,success,C:\Users\cho12\Downloads\Nextrise_IR\1009_(주)리츠%2FLITS.Co.%2CLtd.zip,
2026-05-19T18:46:41.845512,4,8,1008,success,C:\Users\cho12\Downloads\Nextrise_IR\1008_(주)리피즈%2Flifizz.inc.zip,
2026-05-19T18:46:43.882839,4,9,1007,success,C:\Users\cho12\Downloads\Nextrise_IR\1007_(주)리필REPILL.zip,
2026-05-19T18:47:17.699729,4,10,1006,success,C:\Users\cho12\Downloads\Nextrise_IR\1006_(주)링크코어%2FLINKCORE.zip,
2026-05-19T18:47:29.038103,5,1,1005,success,C:\Users\cho12\Downloads\Nextrise_IR\1005_(주)링크플릭스%2FLinkflixCo.%2Cltd.zip,
2026-05-19T18:47:30.661506,5,2,1004,success,C:\Users\cho12\Downloads\Nextrise_IR\1004_(주)마이크로픽스%2FMicropix.zip,
2026-05-19T18:47:33.056146,5,3,1003,success,C:\Users\cho12\Downloads\Nextrise_IR\1003_(주)맥케이.zip,
2026-05-19T18:47:38.337924,5,4,1002,success,C:\Users\cho12\Downloads\Nextrise_IR\1002_(주)메디런스%2Fmediruns.zip,
2026-05-19T18:47:40.696172,5,5,1001,success,C:\Users\cho12\Downloads\Nextrise_IR\1001_(주)메디이미지%2FMediIMGInc..zip,
2026-05-19T18:47:43.359737,5,6,1000,success,C:\Users\cho12\Downloads\Nextrise_IR\1000_(주)메타클%2FMetacle%2CInc..zip,
2026-05-19T18:47:46.233209,5,7,999,success,C:\Users\cho12\Downloads\Nextrise_IR\999_(주)메트로데브%2FMETROODEVInc.zip,
2026-05-19T18:47:49.409382,5,8,998,success,C:\Users\cho12\Downloads\Nextrise_IR\998_(주)모닛%2FMonitCorp.zip,
2026-05-19T18:47:50.718792,5,9,997,success,C:\Users\cho12\Downloads\Nextrise_IR\997_(주)모두AI%2FMODUAICo.%2CLTD.zip,
2026-05-19T18:47:53.083496,5,10,996,success,C:\Users\cho12\Downloads\Nextrise_IR\996_(주)모비에이션%2FMoviationInc.zip,
2026-05-19T18:48:01.255379,6,1,995,success,C:\Users\cho12\Downloads\Nextrise_IR\995_(주)모빅신소재기술%2FMOVICAMTCo.%2CLtd..zip,
2026-05-19T18:48:04.358509,6,2,994,success,C:\Users\cho12\Downloads\Nextrise_IR\994_(주)미라벨소프트%2FMIRABELLSOFTCO.%2CLTD.zip,
2026-05-19T18:48:06.819966,6,3,993,success,C:\Users\cho12\Downloads\Nextrise_IR\993_(주)바른바이오BarunbioInc..zip,
2026-05-19T18:48:12.455332,6,4,992,success,C:\Users\cho12\Downloads\Nextrise_IR\992_(주)바이오메듀스%2FBiomeduxCo.%2CLtd.zip,
2026-05-19T18:48:15.707546,6,5,991,success,C:\Users\cho12\Downloads\Nextrise_IR\991_(주)바이오바이츠%2FBiobytesInc..zip,
2026-05-19T18:48:18.724525,6,6,990,success,C:\Users\cho12\Downloads\Nextrise_IR\990_(주)밤볼.zip,
2026-05-19T18:48:23.309048,6,7,989,success,C:\Users\cho12\Downloads\Nextrise_IR\989_(주)베코엔터테인먼트%2FBEKKOENTERTAINMENT.zip,
2026-05-19T18:48:26.357057,6,8,988,success,C:\Users\cho12\Downloads\Nextrise_IR\988_(주)브라이튼코퍼레이션%2FBRYTNCo.%2CLtd..zip,
2026-05-19T18:48:27.546821,6,9,987,success,C:\Users\cho12\Downloads\Nextrise_IR\987_(주)사이언스플러스.zip,
2026-05-19T18:48:31.091208,6,10,986,success,C:\Users\cho12\Downloads\Nextrise_IR\986_(주)삼일화학.zip,
2026-05-19T18:48:40.319722,7,1,985,success,C:\Users\cho12\Downloads\Nextrise_IR\985_(주)서바이번트바이오로직스%2FSurvivantBiologics.zip,
2026-05-19T18:48:42.542398,7,2,984,success,C:\Users\cho12\Downloads\Nextrise_IR\984_(주)설텍.zip,
2026-05-19T18:48:44.444212,7,3,983,success,C:\Users\cho12\Downloads\Nextrise_IR\983_(주)성일에너지.zip,
2026-05-19T18:48:50.224959,7,4,982,success,C:\Users\cho12\Downloads\Nextrise_IR\982_(주)세상을바꾸는사람들%2FSEVASAInc..zip,
2026-05-19T18:48:52.100379,7,5,981,success,C:\Users\cho12\Downloads\Nextrise_IR\981_(주)세이렌어쿠스틱스%2FSirenacoustics.zip,
2026-05-19T18:48:54.800626,7,6,980,success,C:\Users\cho12\Downloads\Nextrise_IR\980_(주)세이프웨이SafewayInc..zip,
2026-05-19T18:48:57.471775,7,7,979,success,C:\Users\cho12\Downloads\Nextrise_IR\979_(주)세이픽스%2FSAFIXCo.%2CLtd..zip,
2026-05-19T18:49:02.088498,7,8,978,success,C:\Users\cho12\Downloads\Nextrise_IR\978_(주)소울소프트%2FSoulsoft.zip,
2026-05-19T18:49:04.805816,7,9,977,success,C:\Users\cho12\Downloads\Nextrise_IR\977_(주)소프트베리.zip,
2026-05-19T18:49:06.703300,7,10,976,success,C:\Users\cho12\Downloads\Nextrise_IR\976_(주)솔시온바이오메디칼.zip,
2026-05-19T18:49:15.516969,8,1,975,success,C:\Users\cho12\Downloads\Nextrise_IR\975_(주)슈타겐%2Fshutagen.zip,
2026-05-19T18:49:19.832338,8,2,974,success,C:\Users\cho12\Downloads\Nextrise_IR\974_(주)슈파인세라퓨틱스%2FSuPineTherapeutics.zip,
2026-05-19T18:49:21.648147,8,3,973,success,C:\Users\cho12\Downloads\Nextrise_IR\973_(주)스마트골프서비스%2FSMARTGOLFInc.zip,
2026-05-19T18:49:26.326212,8,4,972,success,C:\Users\cho12\Downloads\Nextrise_IR\972_(주)스위트앤데이터%2FSweetndataInc.zip,
2026-05-19T18:49:32.733208,8,5,971,success,C:\Users\cho12\Downloads\Nextrise_IR\971_(주)스타키움.zip,
2026-05-19T18:49:35.493689,8,6,970,success,C:\Users\cho12\Downloads\Nextrise_IR\970_(주)스텝하우.zip,
2026-05-19T18:49:38.541179,8,7,969,success,C:\Users\cho12\Downloads\Nextrise_IR\969_(주)스튜디오갈릴레이%2FStudioGalileiCo.%2CLtd.zip,
2026-05-19T18:49:43.594709,8,8,968,success,C:\Users\cho12\Downloads\Nextrise_IR\968_(주)심플리바이오.zip,
2026-05-19T18:49:46.517716,8,9,967,success,C:\Users\cho12\Downloads\Nextrise_IR\967_(주)쓰리디멤%2F3DMem%2CInc..zip,
2026-05-19T18:49:48.683570,8,10,966,success,C:\Users\cho12\Downloads\Nextrise_IR\966_(주)씨디테라.zip,
2026-05-19T18:49:57.482592,9,1,965,success,C:\Users\cho12\Downloads\Nextrise_IR\965_(주)씨라이프사이언스랩%2FSEA-LIFESCIENCELAB.zip,
2026-05-19T18:50:00.420152,9,2,964,success,C:\Users\cho12\Downloads\Nextrise_IR\964_(주)씽킹메이킹%2FThinkingMakingCo.%2CLtd.zip,
2026-05-19T18:50:05.288187,9,3,963,success,C:\Users\cho12\Downloads\Nextrise_IR\963_(주)아이비씨티%2FIBCTCo.%2CLtd..zip,
2026-05-19T18:50:11.029533,9,4,962,success,C:\Users\cho12\Downloads\Nextrise_IR\962_(주)아이알엠%2FIRMInc..zip,
2026-05-19T18:50:13.199058,9,5,961,success,C:\Users\cho12\Downloads\Nextrise_IR\961_(주)아이온커뮤니케이션즈%2FI-ONCOMMUNICATIONS.zip,
2026-05-19T18:50:20.851594,9,6,960,success,C:\Users\cho12\Downloads\Nextrise_IR\960_(주)아이티테크.zip,
2026-05-19T18:50:24.574902,9,7,959,success,C:\Users\cho12\Downloads\Nextrise_IR\959_(주)알엔에이치바이오%2FRnh-BioInc..zip,
2026-05-19T18:50:26.747177,9,8,958,success,C:\Users\cho12\Downloads\Nextrise_IR\958_(주)애이마%2FAiMAco.Ltd..zip,
2026-05-19T18:50:29.621976,9,9,957,success,C:\Users\cho12\Downloads\Nextrise_IR\957_(주)에스알브이(SRV).zip,
2026-05-19T18:50:32.871404,9,10,956,success,C:\Users\cho12\Downloads\Nextrise_IR\956_(주)에이뮨링크%2FAImmuneLinkCo.%2CLtd..zip,
2026-05-19T18:50:44.956356,10,1,955,success,C:\Users\cho12\Downloads\Nextrise_IR\955_(주)에이브람스.zip,
2026-05-19T18:50:51.394538,10,2,954,success,C:\Users\cho12\Downloads\Nextrise_IR\954_(주)에이블테라퓨틱스%2FAIBLETherapeuticsCo.%2CLtd..zip,
2026-05-19T18:50:58.224868,10,3,953,success,C:\Users\cho12\Downloads\Nextrise_IR\953_(주)에이비씨써클%2FABCCircle.co.%2CLtd..zip,
2026-05-19T18:51:02.529801,10,4,952,success,C:\Users\cho12\Downloads\Nextrise_IR\952_(주)에이치브이에스.zip,
2026-05-19T18:51:09.070033,10,5,951,success,C:\Users\cho12\Downloads\Nextrise_IR\951_(주)에이치에스이%2FHSE.%2CCo.Ltd.zip,
2026-05-19T18:51:11.279493,10,6,950,success,C:\Users\cho12\Downloads\Nextrise_IR\950_(주)에이치투블룸%2FH2BloomInc..zip,
2026-05-19T18:51:18.128186,10,7,949,success,C:\Users\cho12\Downloads\Nextrise_IR\949_(주)에코브%2FECCOVINC..zip,
2026-05-19T18:51:20.679417,10,8,948,success,C:\Users\cho12\Downloads\Nextrise_IR\948_(주)엑스트로피.zip,
2026-05-19T18:51:23.847821,10,9,947,success,C:\Users\cho12\Downloads\Nextrise_IR\947_(주)엔포러스%2FEnforuslnc..zip,
2026-05-19T18:51:26.998197,10,10,946,success,C:\Users\cho12\Downloads\Nextrise_IR\946_(주)엘에스켐.zip,
2026-05-19T18:51:36.454400,11,1,945,success,C:\Users\cho12\Downloads\Nextrise_IR\945_(주)엘이디온.zip,
2026-05-19T18:51:40.841886,11,2,944,success,C:\Users\cho12\Downloads\Nextrise_IR\944_(주)엠테이크.zip,
2026-05-19T18:51:43.141062,11,3,943,success,C:\Users\cho12\Downloads\Nextrise_IR\943_(주)엠피웨이브%2FmpWAVInc..zip,
2026-05-19T18:51:45.880360,11,4,942,success,C:\Users\cho12\Downloads\Nextrise_IR\942_(주)예울%2FYEUL.zip,
2026-05-19T18:51:47.934201,11,5,941,success,C:\Users\cho12\Downloads\Nextrise_IR\941_(주)오믈렛%2FOmelet.zip,
2026-05-19T18:51:49.557763,11,6,940,success,C:\Users\cho12\Downloads\Nextrise_IR\940_(주)올에아이%2FALL.AIInc.zip,
2026-05-19T18:51:52.109228,11,7,939,success,C:\Users\cho12\Downloads\Nextrise_IR\939_(주)와이에이치솔루션.zip,
2026-05-19T18:51:55.485268,11,8,938,success,C:\Users\cho12\Downloads\Nextrise_IR\938_(주)와츠매터%2FWhat'sMatterInc..zip,
2026-05-19T18:52:00.149045,11,9,937,success,C:\Users\cho12\Downloads\Nextrise_IR\937_(주)워터제네시스.zip,
2026-05-19T18:52:02.546061,11,10,936,success,C:\Users\cho12\Downloads\Nextrise_IR\936_(주)워터트리네즈%2FWaterTrinez.zip,
2026-05-19T18:52:12.641199,12,1,935,success,C:\Users\cho12\Downloads\Nextrise_IR\935_(주)원더풀플랫폼WonderfulPlatform.zip,
2026-05-19T18:52:17.538263,12,2,934,success,C:\Users\cho12\Downloads\Nextrise_IR\934_(주)원체크%2FOnecheck.zip,
2026-05-19T18:52:21.056864,12,3,933,success,C:\Users\cho12\Downloads\Nextrise_IR\933_(주)웨어코렉트.zip,
2026-05-19T18:52:22.944056,12,4,932,success,C:\Users\cho12\Downloads\Nextrise_IR\932_(주)위닝아이%2FWINNING.ICorp..zip,
2026-05-19T18:52:25.877936,12,5,931,success,C:\Users\cho12\Downloads\Nextrise_IR\931_(주)위드라이브.zip,
